timestamp,headingDeg,encoderCount
1786865698.8898335,0.21,-37616
1786865698.9094255,0.21,-37638
1786865698.9321575,0.21,-37660
1786865698.9519112,0.21,-37682
1786865698.9731042,0.21,-37704
1786865698.992727,0.21,-37726
1786865699.013544,0.21,-37748
1786865699.0301955,0.21,-37770
1786865699.0495746,0.21,-37793
1786865699.0703278,0.21,-37815
1786865699.094706,0.21,-37837
1786865699.1148677,0.20,-37859
1786865699.1356585,0.21,-37882
1786865699.157011,0.20,-37904
1786865699.1774294,0.21,-37926
1786865699.198053,0.21,-37948
1786865699.2164123,0.20,-37970
1786865699.2367756,0.21,-37992
1786865699.2598493,0.21,-38014
1786865699.2786064,0.21,-38036
1786865699.2989123,0.21,-38058
1786865699.3201718,0.21,-38080
1786865699.3411968,0.21,-38102
1786865699.361928,0.21,-38124
1786865699.3819022,0.22,-38146
1786865699.3986752,0.22,-38167
1786865699.423191,0.22,-38190
1786865699.441578,0.22,-38212
1786865699.4641004,0.22,-38234
1786865699.4830322,0.22,-38256
1786865699.5007167,0.22,-38278
1786865699.5244968,0.22,-38300
1786865699.5423954,0.22,-38322
1786865699.5660913,0.22,-38344
1786865699.58722,0.22,-38366
1786865699.6074011,0.22,-38388
1786865699.625757,0.22,-38409
1786865699.6485903,0.22,-38431
1786865699.6674578,0.23,-38453
1786865699.689647,0.23,-38475
1786865699.7090812,0.22,-38497
1786865699.7290914,0.22,-38519
1786865699.750612,0.22,-38541
1786865699.7711437,0.22,-38564
1786865699.792246,0.22,-38586
1786865699.8128273,0.22,-38608
1786865699.8316586,0.22,-38630
1786865699.8536377,0.21,-38652
1786865699.8681972,0.21,-38674
1786865699.8943636,0.21,-38696
1786865699.9138124,0.21,-38718
1786865699.9353426,0.21,-38739
1786865699.9549713,0.21,-38761
1786865699.9729056,0.21,-38782
1786865699.9959183,0.20,-38805
1786865700.015062,0.20,-38827
1786865700.0381804,0.21,-38850
1786865700.0569298,0.21,-38872
1786865700.076285,0.21,-38894
1786865700.0976248,0.21,-38915
1786865700.118795,0.21,-38938
1786865700.1390452,0.21,-38960
1786865700.1603584,0.21,-38982
1786865700.1739058,0.21,-39003
1786865700.2020442,0.21,-39025
1786865700.2215693,0.21,-39047
1786865700.2423427,0.21,-39069
1786865700.263347,0.21,-39091
1786865700.2823513,0.21,-39114
1786865700.3048096,0.21,-39136
1786865700.3244793,0.21,-39158
1786865700.3443427,0.21,-39180
1786865700.3613868,0.21,-39201
1786865700.383029,0.21,-39222
1786865700.4029813,0.21,-39245
1786865700.4244964,0.21,-39267
1786865700.4447947,0.21,-39289
1786865700.4664576,0.21,-39311
1786865700.4873018,0.22,-39333
1786865700.5076709,0.21,-39354
1786865700.5278563,0.21,-39375
1786865700.5490973,0.21,-39397
1786865700.570531,0.21,-39419
1786865700.5911489,0.21,-39441
1786865700.610393,0.21,-39463
1786865700.6312582,0.21,-39485
1786865700.65198,0.21,-39507
1786865700.6728404,0.21,-39529
1786865700.6936886,0.21,-39551
1786865700.708389,0.21,-39575
1786865700.7298193,0.21,-39597
1786865700.7496393,0.21,-39619
1786865700.7717981,0.21,-39641
1786865700.7944942,0.21,-39663
1786865700.8129191,0.21,-39685
1786865700.8366702,0.21,-39707
1786865700.8546946,0.21,-39729
1786865700.875094,0.21,-39750
1786865700.89632,0.21,-39772
1786865700.9164078,0.21,-39794
1786865700.9380174,0.21,-39816
1786865700.9591057,0.21,-39838
1786865700.9797566,0.21,-39860
1786865700.9991958,0.21,-39882
1786865701.0213375,0.21,-39904
1786865701.040881,0.21,-39926
1786865701.0616941,0.21,-39949
1786865701.0825095,0.21,-39971
1786865701.1033418,0.21,-39993
1786865701.1200318,0.21,-40015
1786865701.143442,0.21,-40037
1786865701.1629603,0.21,-40058
1786865701.1810536,0.21,-40080
1786865701.2018123,0.22,-40102
1786865701.2218041,0.22,-40124
1786865701.2434275,0.22,-40146
1786865701.263032,0.22,-40168
1786865701.2844138,0.22,-40189
1786865701.306319,0.23,-40211
1786865701.3268187,0.22,-40233
1786865701.3471446,0.22,-40255
1786865701.368548,0.23,-40277
1786865701.3899937,0.23,-40299
1786865701.410089,0.22,-40321
1786865701.43071,0.23,-40342
1786865701.450498,0.23,-40364
1786865701.4713645,0.23,-40386
1786865701.4916294,0.22,-40408
1786865701.5086267,0.22,-40430
1786865701.5338278,0.22,-40453
1786865701.553355,0.22,-40475
