timestamp,headingDeg,encCountR,encCountL,wL,wF,wR
1789541719.446369,0.79,-1,0,2644,2883,2412
1789541719.4682603,0.79,-1,0,2644,2884,2411
1789541719.488719,0.79,-1,0,2644,2883,2415
1789541719.5086133,0.79,-1,0,2643,2882,2413
1789541719.529739,0.79,-1,0,2644,2885,2412
1789541719.5502577,0.79,-1,0,2644,2885,2412
1789541719.571014,0.79,-1,0,2644,2885,2411
1789541719.5919187,0.79,-1,0,2644,2884,2411
1789541719.6123514,0.79,-1,0,2644,2883,2411
1789541719.6326942,0.79,-1,0,2644,2883,2411
1789541719.6531916,0.79,-1,0,2644,2884,2412
1789541719.668518,0.78,-1,0,2644,2884,2412
1789541719.6941063,0.78,-1,0,2644,2884,2412
1789541719.7148173,0.77,-1,0,2644,2883,2412
1789541719.735421,0.76,-1,0,2645,2884,2412
1789541719.7517161,0.76,-1,0,2644,2884,2411
1789541719.7765074,0.75,-1,0,2645,2883,2411
1789541719.7933152,0.76,-1,0,2644,2882,2412
1789541719.8141255,0.76,-1,0,2644,2884,2413
1789541719.838129,0.76,-1,0,2645,2884,2412
1789541719.8587666,0.75,-1,0,2644,2883,2412
1789541719.8792174,0.75,-1,0,2644,2884,2412
1789541719.8973627,0.75,-1,0,2644,2883,2413
1789541719.9201584,0.75,-1,0,2644,2883,2412
1789541719.939163,0.75,-1,0,2644,2884,2413
1789541719.9599407,0.75,-1,0,2644,2884,2410
1789541719.9820526,0.75,-1,0,2644,2883,2410
1789541720.001579,0.75,-1,0,2643,2887,2410
1789541720.023391,0.75,-1,0,2643,2883,2409
1789541720.0431798,0.75,-1,0,2644,2884,2411
1789541720.0640721,0.75,-1,0,2644,2882,2409
1789541720.0848904,0.75,-1,0,2645,2883,2411
1789541720.1052904,0.74,-1,0,2643,2883,2411
1789541720.1257443,0.75,-1,0,2644,2883,2410
1789541720.1464508,0.75,-1,0,2644,2884,2409
1789541720.1672409,0.75,-1,0,2644,2883,2410
1789541720.187533,0.75,-1,0,2645,2885,2410
1789541720.2040854,0.74,-1,0,2644,2883,2410
1789541720.2274084,0.74,-1,0,2644,2884,2409
1789541720.2446923,0.73,-1,0,2645,2880,2409
1789541720.2695086,0.73,-1,0,2645,2885,2410
1789541720.286384,0.79,-1,0,2644,2884,2410
1789541720.3106046,0.83,-1,0,2644,2883,2410
1789541720.3294597,0.81,-1,0,2645,2883,2409
1789541720.3510895,0.83,-1,0,2644,2883,2407
1789541720.3696525,0.70,-1,0,2645,2884,2403
1789541720.390338,0.56,-1,0,2644,2877,2398
1789541720.413729,0.49,-1,0,2644,2883,2392
1789541720.4320524,0.56,-1,0,2645,2883,2392
1789541720.4524283,0.78,-1,0,2644,2884,2394
1789541720.473683,1.06,-1,0,2644,2885,2393
1789541720.4956508,1.42,-1,0,2644,2883,2394
1789541720.5157595,1.71,-1,0,2644,2884,2395
1789541720.5365446,2.05,-1,0,2643,2884,2392
1789541720.5570083,2.30,-1,0,2644,2883,2393
1789541720.5778902,2.54,-1,0,2643,2883,2390
1789541720.5984657,2.79,-1,0,2644,2884,2388
1789541720.6125815,3.00,-1,0,2644,2884,2385
1789541720.6394956,3.18,-1,0,2645,2883,2384
1789541720.6601295,3.40,-1,0,2644,2882,2382
1789541720.6750445,3.61,-1,0,2649,2884,2381
1789541720.700504,3.76,-1,0,2638,2884,2378
1789541720.7167714,3.95,-1,0,2643,2884,2378
1789541720.7375057,4.12,-1,0,2644,2884,2378
1789541720.7578866,4.23,-1,0,2643,2883,2376
1789541720.783069,4.31,-1,0,2644,2884,2376
1789541720.8001764,4.43,-1,0,2644,2884,2377
1789541720.8217945,4.62,-1,0,2644,2882,2378
1789541720.8413227,4.80,-1,0,2644,2883,2378
1789541720.8624008,4.99,-1,0,2644,2884,2375
1789541720.8829007,5.13,-1,0,2644,2882,2380
1789541720.9067252,5.31,-1,0,2644,2883,2380
1789541720.9251413,5.40,-1,0,2644,2882,2378
1789541720.9473348,5.46,-1,0,2644,2883,2377
1789541720.9667819,5.52,-1,0,2646,2884,2379
1789541720.9869893,5.49,-1,0,2645,2883,2376
1789541721.0083258,5.45,-1,0,2644,2883,2375
1789541721.029369,5.44,-1,0,2644,2886,2376
1789541721.0499456,5.37,-1,0,2647,2883,2374
1789541721.0699837,5.32,-1,0,2644,2883,2374
1789541721.0913906,5.25,-1,0,2644,2883,2375
1789541721.111616,5.32,-1,0,2644,2882,2378
1789541721.1322136,5.47,-1,0,2646,2883,2381
1789541721.153192,5.62,-1,0,2644,2886,2387
1789541721.168069,5.79,-1,0,2644,2885,2390
1789541721.193797,5.93,-1,0,2643,2884,2397
1789541721.2097065,6.17,-1,0,2645,2883,2406
1789541721.2349777,6.46,-1,0,2644,2883,2408
1789541721.2513375,6.54,-1,0,2643,2883,2409
1789541721.272112,6.65,-1,0,2645,2883,2414
1789541721.292594,6.83,-1,0,2643,2883,2414
1789541721.3171806,6.92,-1,0,2644,2882,2412
1789541721.334817,7.01,-1,0,2644,2883,2413
1789541721.3582513,7.10,-1,0,2640,2883,2411
1789541721.3765073,7.19,-1,0,2644,2883,2411
1789541721.397209,7.30,-1,0,2644,2883,2409
1789541721.4192302,7.36,-1,0,2643,2885,2410
1789541721.4410095,7.39,-1,0,2643,2884,2406
1789541721.4595566,7.42,-1,0,2645,2883,2405
1789541721.480446,7.43,-1,0,2643,2883,2401
1789541721.5013795,7.33,-1,0,2643,2883,2396
1789541721.5223937,7.19,-1,0,2645,2885,2392
1789541721.5430691,7.00,-1,0,2643,2884,2391
1789541721.5638285,6.81,-1,0,2644,2883,2384
1789541721.5835817,6.58,-1,0,2644,2883,2379
1789541721.604546,6.43,-1,0,2644,2883,2376
1789541721.6252618,6.28,-1,0,2645,2884,2372
1789541721.64611,6.23,-1,0,2644,2883,2368
1789541721.6663077,6.21,-1,0,2645,2879,2370
1789541721.6817806,6.22,-1,0,2644,2884,2367
1789541721.7028792,6.25,-1,0,2643,2883,2364
1789541721.7279525,6.28,-1,0,2645,2883,2363
1789541721.7444084,6.32,-1,0,2644,2883,2361
1789541721.765127,6.39,-1,0,2645,2883,2366
1789541721.7896304,6.43,-1,0,2644,2884,2363
1789541721.810378,6.43,-1,0,2644,2883,2362
1789541721.8275788,6.43,-1,0,2644,2883,2362
1789541721.8512664,6.40,-1,0,2648,2883,2362
1789541721.8625212,6.34,-1,0,2644,2884,2357
1789541721.89234,6.23,-1,0,2645,2884,2361
1789541721.8972337,6.07,-1,0,2645,2884,2361
1789541721.9319115,5.96,-1,0,2644,2883,2360
1789541721.9525807,5.93,-1,0,2643,2881,2360
1789541721.9734545,5.93,-1,0,2638,2884,2360
1789541721.993844,5.93,-1,0,2645,2883,2360
1789541722.0150673,5.93,-1,0,2644,2883,2363
1789541722.0355048,5.93,-1,0,2644,2883,2360
1789541722.056711,5.93,-1,0,2644,2885,2361
1789541722.0769875,5.93,-1,0,2644,2884,2361
1789541722.0975296,5.93,-1,0,2644,2883,2360
1789541722.118353,5.93,-1,0,2644,2883,2359
1789541722.1389163,5.93,-1,0,2643,2883,2362
1789541722.1539247,5.93,-1,0,2645,2879,2359
1789541722.179873,5.93,-1,0,2644,2884,2360
1789541722.2003393,5.93,-1,0,2644,2884,2358
1789541722.2165265,5.93,-1,0,2643,2884,2359
1789541722.238947,5.93,-1,0,2644,2884,2358
1789541722.2621007,5.93,-1,0,2644,2884,2360
1789541722.2790298,5.94,-1,0,2644,2883,2359
1789541722.3033447,5.94,-1,0,2643,2884,2359
1789541722.3205745,5.94,-1,0,2644,2884,2359
1789541722.341324,5.94,-1,0,2644,2882,2359
1789541722.3648093,5.94,-1,0,2644,2883,2358
1789541722.3851573,5.94,-1,0,2644,2883,2358
1789541722.4037898,5.94,-1,0,2644,2884,2360
1789541722.4238596,5.94,-1,0,2644,2883,2359
1789541722.445167,5.94,-1,0,2645,2883,2358
1789541722.4675207,5.93,-1,0,2644,2884,2361
1789541722.4872053,5.93,-1,0,2644,2884,2359
1789541722.5080018,5.93,-1,0,2644,2882,2360
1789541722.528489,5.94,-1,0,2649,2883,2359
1789541722.5496483,5.94,-1,0,2644,2883,2358
1789541722.5696838,5.94,-1,0,2644,2883,2360
1789541722.5905201,5.94,-1,0,2644,2883,2356
1789541722.6113148,5.94,-1,0,2646,2883,2358
1789541722.6320379,5.94,-1,0,2644,2883,2358
1789541722.6528437,5.94,-1,0,2644,2883,2357
1789541722.6728714,5.94,-1,0,2644,2883,2358
1789541722.6885989,5.94,-1,0,2644,2883,2357
1789541722.7139728,5.94,-1,0,2644,2884,2357
1789541722.730256,5.94,-1,0,2644,2882,2357
1789541722.7551022,5.94,-1,0,2644,2883,2357
1789541722.7718034,5.95,-1,0,2645,2883,2356
1789541722.796188,5.94,-1,0,2644,2884,2357
1789541722.8168442,5.94,-1,0,2644,2883,2357
1789541722.8343837,5.94,-1,0,2646,2885,2358
1789541722.8552318,5.95,-1,0,2643,2884,2358
1789541722.8783748,5.95,-1,0,2644,2884,2358
1789541722.8988686,5.95,-1,0,2645,2883,2358
1789541722.9193697,5.95,-1,0,2644,2884,2357
1789541722.9387753,5.95,-1,0,2643,2884,2357
1789541722.9605358,5.95,-1,0,2644,2884,2358
1789541722.9734101,5.94,-1,0,2641,2882,2357
1789541723.001497,5.95,-1,0,2646,2884,2358
1789541723.0219085,5.94,-1,0,2645,2883,2357
1789541723.0425897,5.95,-1,0,2644,2883,2358
1789541723.0634544,5.94,-1,0,2643,2883,2358
1789541723.0834868,5.95,-1,0,2645,2883,2358
1789541723.1041832,5.95,-1,0,2644,2883,2357
1789541723.1250024,5.95,-1,0,2644,2887,2358
1789541723.1459103,5.94,-1,0,2644,2884,2358
1789541723.1606252,5.94,-1,0,2644,2882,2357
1789541723.1811273,5.94,-1,0,2647,2884,2357
1789541723.2069933,5.94,-1,0,2645,2884,2358
1789541723.223643,5.94,-1,0,2640,2884,2357
1789541723.243865,5.94,-1,0,2644,2883,2358
1789541723.266725,5.94,-1,0,2644,2884,2358
1789541723.2857268,5.94,-1,0,2642,2883,2358
1789541723.306016,5.93,-1,0,2644,2884,2358
1789541723.3272526,5.93,-1,0,2644,2883,2358
1789541723.3494623,5.93,-1,0,2643,2884,2357
1789541723.37137,5.93,-1,0,2644,2883,2358
1789541723.3898783,5.93,-1,0,2644,2882,2358
1789541723.4106147,5.93,-1,0,2645,2884,2357
1789541723.4313314,5.93,-1,0,2644,2884,2357
1789541723.451714,5.93,-1,0,2644,2886,2357
1789541723.4744265,5.93,-1,0,2644,2883,2359
1789541723.494647,5.93,-1,0,2644,2883,2355
1789541723.5150373,5.93,-1,0,2643,2882,2357
1789541723.5362723,5.93,-1,0,2644,2883,2357
1789541723.555832,5.93,-1,0,2644,2882,2356
1789541723.5764406,5.93,-1,0,2643,2883,2356
1789541723.5971313,5.94,-1,0,2645,2883,2357
1789541723.6179528,5.93,-1,0,2644,2884,2357
1789541723.6380684,5.94,-1,0,2644,2883,2356
1789541723.6536996,5.94,-1,0,2644,2882,2356
1789541723.6797101,5.94,-1,0,2644,2883,2355
1789541723.6956997,5.94,-1,0,2644,2880,2355
1789541723.7205305,5.93,-1,0,2644,2883,2357
1789541723.7385218,5.93,-1,0,2644,2884,2356
1789541723.7579877,5.93,-1,0,2643,2883,2358
1789541723.7781515,5.93,-1,0,2644,2886,2357
1789541723.8026986,5.93,-1,0,2644,2883,2356
1789541723.8232586,5.93,-1,0,2644,2883,2357
1789541723.8438487,5.93,-1,0,2644,2884,2356
1789541723.8619921,5.93,-1,0,2644,2883,2357
1789541723.8849325,5.93,-1,0,2645,2883,2357
1789541723.903772,5.93,-1,0,2645,2884,2356
1789541723.9262116,5.93,-1,0,2642,2883,2356
1789541723.9447842,5.93,-1,0,2644,2884,2356
1789541723.9660997,5.94,-1,0,2644,2883,2356
1789541723.9876342,5.93,-1,0,2644,2883,2357
1789541724.0077035,5.93,-1,0,2644,2884,2357
1789541724.0287504,5.93,-1,0,2644,2882,2357
1789541724.0494814,5.93,-1,0,2645,2882,2357
1789541724.0696535,5.94,-1,0,2645,2884,2357
1789541724.0902395,5.93,-1,0,2644,2882,2356
1789541724.1110582,5.93,-1,0,2645,2883,2356
1789541724.1318202,5.93,-1,0,2645,2884,2357
1789541724.1519156,5.94,-1,0,2644,2884,2356
1789541724.1674373,5.94,-1,0,2644,2883,2358
1789541724.1929424,5.97,-1,0,2644,2884,2357
1789541724.2091446,6.16,-1,0,2644,2882,2357
1789541724.2344198,6.47,-1,0,2645,2884,2362
1789541724.253832,6.43,-1,0,2644,2883,2361
1789541724.2715998,6.41,-1,0,2644,2883,2357
1789541724.292766,6.29,-1,0,2644,2884,2352
1789541724.313222,6.18,-1,0,2644,2884,2348
1789541724.3335109,6.14,-1,0,2643,2883,2347
1789541724.3550153,6.14,-1,0,2644,2883,2349
1789541724.3781447,6.13,-1,0,2644,2886,2347
1789541724.3965545,6.12,-1,0,2644,2883,2347
1789541724.417255,6.12,-1,0,2639,2884,2347
1789541724.4401312,6.10,-1,0,2645,2883,2346
1789541724.4597716,6.05,-1,0,2644,2881,2347
1789541724.4800453,6.03,-1,0,2643,2884,2346
1789541724.5009398,6.00,-1,0,2643,2883,2348
1789541724.521862,6.00,-1,0,2644,2883,2348
1789541724.542317,6.00,-1,0,2644,2883,2347
1789541724.5623186,5.98,-1,0,2644,2883,2348
1789541724.5831692,5.99,-1,0,2644,2883,2347
1789541724.6039772,5.99,-1,0,2644,2883,2347
1789541724.6246955,5.99,-1,0,2644,2884,2345
1789541724.6454904,5.98,-1,0,2644,2884,2348
1789541724.6604643,5.99,-1,0,2644,2884,2346
1789541724.681076,5.99,-1,0,2644,2883,2348
1789541724.7065527,5.99,-1,0,2644,2883,2348
1789541724.727158,5.99,-1,0,2644,2883,2347
1789541724.7476985,5.99,-1,0,2645,2884,2347
1789541724.7645857,5.99,-1,0,2644,2886,2347
1789541724.7852612,5.99,-1,0,2644,2882,2347
1789541724.807788,5.98,-1,0,2644,2883,2348
1789541724.8292582,5.98,-1,0,2644,2884,2347
1789541724.8478644,5.99,-1,0,2645,2884,2346
1789541724.8708875,5.99,-1,0,2644,2883,2347
1789541724.8896585,6.00,-1,0,2645,2884,2347
1789541724.910368,5.99,-1,0,2644,2885,2347
1789541724.9307444,5.98,-1,0,2644,2884,2346
1789541724.9519756,5.98,-1,0,2644,2887,2347
1789541724.9723108,5.98,-1,0,2644,2887,2348
1789541724.9936178,5.99,-1,0,2644,2884,2347
1789541725.0143318,5.99,-1,0,2644,2883,2347
1789541725.0352674,5.99,-1,0,2646,2883,2346
1789541725.0550985,5.99,-1,0,2644,2884,2350
1789541725.0761347,5.98,-1,0,2645,2883,2348
1789541725.0967677,5.99,-1,0,2644,2884,2348
