timestamp,headingDeg,encCountR,encCountL,wL,wF,wR
1789542396.1060312,-0.87,-2516,1712,2852,2920,2238
1789542396.1265333,-0.76,-2527,1716,2852,2923,2238
1789542396.1470208,-0.83,-2539,1720,2852,2921,2236
1789542396.1678457,-0.81,-2551,1721,2853,2920,2231
1789542396.1878111,-0.87,-2562,1721,2852,2920,2238
1789542396.2082312,-0.88,-2574,1728,2852,2919,2238
1789542396.2294157,-0.86,-2585,1730,2853,2919,2237
1789542396.249963,-0.92,-2596,1730,2853,2921,2240
1789542396.2709236,-0.91,-2607,1735,2852,2922,2237
1789542396.2909186,-0.93,-2619,1741,2852,2920,2237
1789542396.3067806,-0.89,-2630,1744,2864,2920,2238
1789542396.3324885,-0.91,-2641,1750,2852,2916,2238
1789542396.3481917,-0.96,-2652,1755,2865,2920,2238
1789542396.3691275,-0.89,-2663,1760,2865,2920,2237
1789542396.3936067,-0.91,-2674,1769,2865,2921,2238
1789542396.4126925,-0.90,-2686,1778,2865,2924,2237
1789542396.4345157,-0.86,-2697,1782,2864,2919,2238
1789542396.4551172,-0.79,-2708,1790,2865,2920,2237
1789542396.4752266,-0.76,-2719,1796,2865,2918,2238
1789542396.4967992,-0.77,-2730,1802,2865,2918,2239
1789542396.5150015,-0.71,-2741,1808,2864,2920,2237
1789542396.5358467,-0.56,-2751,1813,2864,2921,2238
1789542396.5566366,-0.50,-2762,1820,2865,2919,2235
1789542396.5773463,-0.42,-2772,1825,2861,2918,2235
1789542396.5993178,-0.31,-2782,1835,2865,2919,2234
1789542396.6199045,-0.25,-2792,1849,2864,2918,2233
1789542396.639078,-0.18,-2802,1860,2865,2919,2234
1789542396.660989,-0.22,-2811,1865,2865,2919,2234
1789542396.680752,-0.18,-2820,1874,2864,2921,2239
1789542396.7015529,-0.06,-2829,1883,2865,2919,2235
1789542396.722443,-0.08,-2837,1889,2865,2914,2236
1789542396.7427032,-0.08,-2846,1895,2864,2918,2234
1789542396.7638593,-0.04,-2854,1898,2865,2918,2234
1789542396.7838302,-0.15,-2862,1903,2865,2919,2234
1789542396.7995605,-0.25,-2869,1903,2864,2920,2233
1789542396.8205378,-0.34,-2876,1912,2862,2920,2234
1789542396.8455448,-0.41,-2883,1919,2866,2919,2235
1789542396.862123,-0.48,-2891,1927,2864,2919,2234
1789542396.8866045,-0.57,-2898,1933,2863,2919,2234
1789542396.9037545,-0.64,-2905,1944,2863,2919,2235
1789542396.9276614,-0.65,-2912,1949,2862,2920,2234
1789542396.9453318,-0.66,-2920,1957,2864,2920,2235
1789542396.968806,-0.61,-2927,1959,2865,2921,2234
1789542396.987082,-0.56,-2935,1966,2864,2920,2235
1789542397.0094278,-0.48,-2943,1972,2865,2921,2234
1789542397.0287266,-0.35,-2951,1974,2880,2920,2233
1789542397.0511174,-0.13,-2960,1979,2865,2919,2235
1789542397.0704005,0.01,-2969,1981,2864,2920,2234
1789542397.0921304,0.22,-2979,1988,2875,2921,2234
1789542397.1120725,0.51,-2989,1992,2875,2921,2234
1789542397.1327085,0.83,-2999,1996,2864,2921,2233
1789542397.153728,1.14,-3009,1998,2865,2920,2235
1789542397.1746244,1.51,-3020,2001,2864,2920,2238
1789542397.1945617,1.91,-3031,2002,2876,2917,2232
1789542397.2159503,2.34,-3042,2002,2859,2915,2234
1789542397.2359974,2.77,-3053,2006,2864,2916,2234
1789542397.2562652,3.18,-3063,2010,2866,2917,2234
1789542397.2716649,3.52,-3074,2012,2864,2918,2236
1789542397.2973573,3.90,-3083,2013,2865,2917,2233
1789542397.3134887,4.29,-3093,2016,2869,2918,2233
1789542397.3389578,4.56,-3101,2017,2865,2916,2233
1789542397.3550732,4.89,-3110,2016,2865,2916,2230
1789542397.3759456,5.32,-3118,2018,2865,2916,2229
1789542397.3992121,5.70,-3125,2019,2864,2917,2232
1789542397.4176028,6.18,-3132,2019,2864,2916,2230
1789542397.4402447,6.70,-3139,2019,2864,2916,2229
1789542397.459122,7.18,-3146,2019,2861,2916,2229
1789542397.4790456,7.62,-3153,2019,2859,2916,2228
1789542397.5027876,8.12,-3160,2019,2865,2917,2229
1789542397.523394,8.64,-3167,2019,2865,2915,2229
1789542397.542664,9.26,-3174,2019,2864,2916,2229
