timestamp,whiskerL,whiskerF,whiskerR
1789539142.6583211,2546,2353,2554
1789539142.7094064,2547,2352,2555
1789539142.7580335,2546,2352,2556
1789539142.809412,2546,2353,2556
1789539142.8470693,2546,2352,2556
1789539142.9094431,2546,2353,2556
1789539142.9581718,2546,2348,2556
1789539143.0094674,2546,2353,2556
1789539143.0474823,2546,2353,2556
1789539143.1096048,2547,2352,2555
1789539143.1525295,2547,2353,2555
1789539143.209836,2546,2352,2555
1789539143.2559516,2547,2353,2556
1789539143.3098667,2546,2352,2555
1789539143.359562,2547,2353,2555
1789539143.4100654,2547,2353,2557
1789539143.4600825,2547,2353,2556
1789539143.5101154,2546,2353,2556
1789539143.5602303,2547,2352,2555
1789539143.6104312,2546,2352,2555
1789539143.6454873,2546,2351,2555
1789539143.7103283,2547,2353,2555
1789539143.7566316,2546,2353,2556
1789539143.810386,2546,2355,2555
1789539143.8604765,2547,2354,2555
1789539143.910578,2547,2354,2556
1789539143.960146,2547,2352,2555
1789539144.0107224,2546,2353,2556
1789539144.0544686,2547,2352,2557
1789539144.109416,2546,2352,2556
1789539144.1524484,2547,2351,2556
1789539144.2110813,2546,2352,2556
1789539144.2565212,2547,2352,2556
1789539144.31116,2547,2353,2556
1789539144.3612218,2546,2353,2556
1789539144.4113624,2546,2353,2557
1789539144.4503424,2546,2352,2558
1789539144.511394,2546,2353,2558
1789539144.5607207,2547,2352,2555
1789539144.6117473,3111,2351,2556
1789539144.6514428,4089,2354,2556
1789539144.7099721,4089,2352,2556
1789539144.7616403,4089,2353,2555
1789539144.8049982,4089,2352,2556
1789539144.8466778,4089,2352,2556
1789539144.9111867,4089,2352,2556
1789539144.957774,4088,2355,2555
1789539145.0123715,4089,2352,2555
1789539145.0618412,4089,2352,2556
1789539145.1035807,4088,2354,2551
1789539145.161157,4088,2353,2555
1789539145.206854,4089,2352,2556
1789539145.2508614,4088,2353,2557
1789539145.311861,4088,2352,2556
1789539145.3527439,4089,2352,2556
1789539145.4105573,4089,2353,2557
1789539145.4626513,4088,2352,2556
1789539145.5062737,4088,2351,2556
1789539145.5525825,4089,2352,2556
1789539145.612837,4089,2353,2553
1789539145.6590536,4088,2354,2556
1789539145.7076275,4088,2354,2556
1789539145.7546892,4088,2352,2559
1789539145.8130293,4089,2352,2556
1789539145.8631468,4089,2351,2557
1789539145.9131827,4088,2352,2555
1789539145.9569254,4089,2353,2555
1789539145.9991398,4089,2352,2556
1789539146.06336,4088,2352,2557
1789539146.1095686,4089,2353,2556
1789539146.1598914,4089,2352,2556
1789539146.2131624,4088,2352,2556
1789539146.257772,4089,2351,2556
1789539146.313687,4089,2352,2555
1789539146.3602939,4089,2353,2556
1789539146.4018853,4088,2353,2556
1789539146.4636936,4089,2352,2556
1789539146.513024,4089,2352,2556
1789539146.5609083,4089,2351,2555
1789539146.6025252,4089,2352,2556
1789539146.6640906,4088,2352,2555
1789539146.7137778,4089,2352,2556
1789539146.7612731,4089,2352,2558
1789539146.8137357,4088,2352,2556
1789539146.8591928,4088,2353,2555
1789539146.9144292,4089,2351,2556
1789539146.9594064,4088,2353,2556
1789539147.0144236,4088,2353,2556
1789539147.064624,4088,2353,2556
1789539147.109403,4088,2352,2555
1789539147.161009,4089,2353,2556
1789539147.2067761,4088,2351,2556
1789539147.2647786,4089,2352,2555
1789539147.3114357,4089,2353,2557
1789539147.3627162,4088,2351,2556
1789539147.414784,4088,2353,2556
1789539147.464216,4089,2353,2556
1789539147.5058334,4088,2352,2556
1789539147.5635793,4066,2352,2557
