timestamp,rawL,rawR
1786722556.4718409,705,186
1786722556.516974,705,186
1786722556.5584166,705,185
1786722556.6206522,705,185
1786722556.662421,705,185
1786722556.7191978,705,185
1786722556.7669318,705,185
1786722556.8208714,705,186
1786722556.870029,705,185
1786722556.9117782,706,185
1786722556.9694715,705,185
1786722557.0214536,705,186
1786722557.0575309,705,185
1786722557.1221843,705,185
1786722557.1686337,705,186
1786722557.2209897,705,185
1786722557.265927,705,186
1786722557.307507,705,186
1786722557.3712673,705,185
1786722557.4207668,705,186
1786722557.4716713,705,187
1786722557.5158486,705,187
1786722557.5574176,705,186
1786722557.6225784,705,186
1786722557.6622465,706,186
1786722557.7111993,706,185
1786722557.772793,706,186
1786722557.8221962,705,185
1786722557.8639278,706,186
1786722557.9215634,706,186
1786722557.9729726,706,187
1786722558.0222974,706,186
1786722558.0653734,706,186
1786722558.1223783,707,185
1786722558.1730642,706,186
1786722558.2230666,706,185
1786722558.266596,706,186
1786722558.3082123,706,186
1786722558.3732295,706,186
1786722558.4193556,706,186
1786722558.4732578,706,186
1786722558.516447,706,186
1786722558.5582411,706,186
1786722558.6200063,706,186
1786722558.6733942,706,186
1786722558.7210805,706,185
1786722558.7732627,706,186
1786722558.8229213,706,186
1786722558.8729537,706,186
1786722558.9235194,705,186
1786722558.9734926,706,187
1786722559.0236416,706,186
1786722559.0732095,706,186
1786722559.1233284,705,186
1786722559.1734874,706,186
1786722559.21729,707,187
1786722559.2737498,706,186
1786722559.3149788,706,186
1786722559.3717892,707,186
1786722559.4182193,707,187
1786722559.4607875,706,186
1786722559.5227277,706,187
1786722559.574104,706,185
1786722559.623878,707,186
1786722559.6741621,706,187
1786722559.7232175,706,186
1786722559.7723997,707,187
1786722559.8211944,706,187
1786722559.869763,706,187
1786722559.9180493,706,187
1786722559.973592,706,187
1786722560.0242968,706,188
1786722560.0742638,706,188
1786722560.1243274,706,186
1786722560.169062,706,187
1786722560.224259,707,188
1786722560.274236,706,188
1786722560.3216932,707,188
1786722560.3746986,707,187
1786722560.4248466,707,187
1786722560.4607306,706,186
1786722560.5244417,706,187
1786722560.5711453,706,188
1786722560.6196713,706,187
1786722560.6746345,706,188
1786722560.7244947,707,188
1786722560.76577,706,188
1786722560.8250434,707,188
1786722560.8748095,707,188
1786722560.9245791,707,188
1786722560.9749935,706,188
1786722561.0243134,707,188
1786722561.0751708,707,188
1786722561.1197288,707,188
1786722561.1749017,706,188
1786722561.2238011,707,186
1786722561.272279,707,188
1786722561.320908,707,188
1786722561.3695953,707,188
1786722561.4250147,706,188
1786722561.4731386,707,188
1786722561.5254173,707,188
1786722561.5708096,707,188
1786722561.6194263,706,188
1786722561.6753235,707,188
1786722561.7236812,707,188
1786722561.7756963,707,188
1786722561.8208337,706,187
